datetime,VBINX_r,SPY_r,IWM_r,QQQ_r,GLD_r,TLT_r,SHY_r,Backtest_r,SPY_x,IWM_x,QQQ_x,GLD_x,TLT_x,SHY_x,Backtest_x,SPY_l,IWM_l,QQQ_l,GLD_l,TLT_l
2001-02-15 09:30:00,0,-0.001650686,-0.001579739,-0.002360366,-0.0061062,-0.001079338,-1.29E-07,-0.002989854,0.292813399,0.171030254,0.178688114,0.217426276,0.451119343,0,1.311077385,1,1,1,1,1
2001-02-15 16:00:00,0,0.002315381,0.004588623,-0.001314725,0.004725898,-0.00270241,-0.000492502,0.001031639,0.292831447,0.171273946,0.178924361,0.216216274,0.451030251,0,1.310276279,1,1,1,1,1
2001-02-16 09:30:00,-0.005128075,0.000164803,0.003307214,0.001842821,0,-0.005419647,1.29E-07,-0.001502168,0.292388268,0.171162901,0.178781649,0.21569835,0.451300435,0,1.309331603,1,1,1,1,1
2001-02-16 16:00:00,0,-0.008248783,-0.012087928,-0.015243049,0.004938852,-0.000871861,0.000492745,-0.006546903,0.293028423,0.171876837,0.179295006,0.217083447,0.44878798,0,1.310071692,1,1,1,1,1
2001-02-17 09:30:00,-0.001030976,8.32E-05,-0.00111212,0.000266639,-0.000468079,-0.012325673,-0.000615221,-0.005699114,0.301198181,0.178440219,0.183257009,0.227622499,0.443629517,0,1.334147425,1,1,1,1,1
2001-02-17 16:00:00,2.22E-16,0.001247513,-0.001352195,-0.00346857,0.000936572,0.003423501,-0.000739152,0.001158134,0.300438287,0.177582239,0.183037201,0.242741072,0.417990701,0,1.3217895,1,1,1,1,1
2001-02-21 09:30:00,-0.009288135,-0.004069993,-0.005177337,-0.00856744,0.014970737,-0.002531059,-7.35E-07,-0.001142435,0.303722928,0.180622621,0.184052833,0.247384594,0.433734828,0,1.349517804,1,1,1,1,1
2001-02-21 16:00:00,-1.11E-16,-0.010842402,-0.014411561,-0.003780718,0.004148444,-0.001875737,0.000369843,-0.006428557,0.30868718,0.182101363,0.185864408,0.256719431,0.436930907,0,1.370303289,1,1,1,1,1
2001-02-22 09:30:00,0.003646303,0.002782071,0.00308692,0.004066358,-0.006426417,0.00751699,3.64E-07,0.00371224,0.304153685,0.177101349,0.190059714,0.262099106,0.429809318,0,1.363223171,1,1,1,1,1
2001-02-22 16:00:00,-1.11E-16,0.004372295,0.002834451,-0.002699838,0.003002934,-0.004169377,-0.000123268,0.000383,0.304379298,0.17692253,0.19007217,0.271384171,0.419990523,0,1.362748692,1,1,1,1,1
2001-02-23 09:30:00,0.004150827,-0.001757663,-0.001211174,-0.002436554,0.001381898,0.004406998,3.71E-07,0.00100921,0.305744939,0.178685331,0.190607695,0.272748994,0.419909505,0,1.367696464,1,1,1,1,1
