price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
828,0.5,1,1,1,2,1,8,65,57,1.36,0
828,0.5,1,1,1,1,1,8,62.1,60,1.36,0
830,0.4,1,5,5,2,0,7,60.9,61,1.34,0
831,0.41,1,5,3,2,1,8,58.1,59,1.37,0
831,0.45,1,3,2,0,0,8,59.6,64,1.5,1
832,0.5,1,5,1,0,1,7,60,58,1.34,0
832,0.51,1,2,0,1,1,8,65,58,1.44,0
834,0.5,0,3,2,2,1,5,66.8,60,1.32,0
834,0.5,1,4,0,1,0,8,62,60,1.35,0
834,0.5,1,3,4,0,0,8,62.5,60,1.37,0
836,0.51,1,5,0,2,2,8,63.9,58,1.39,0
837,0.42,1,3,3,1,0,8,59.5,61,1.34,0
837,0.42,1,3,3,1,0,8,61.8,60,1.34,0
837,0.5,1,3,0,2,1,7,63.2,59,1.34,0
839,0.4,1,5,3,1,1,7,62.7,60,1.35,0
839,0.4,1,4,4,2,2,8,60.5,61,1.39,0
840,0.48,1,6,1,1,0,8,61.2,59,1.4,0
841,0.43,0,3,3,1,0,8,65.5,61,1.34,0
841,0.5,1,3,0,1,0,7,61.7,59,1.39,0
842,0.46,0,2,4,2,1,8,66.7,56,1.4,0
842,0.46,0,2,4,1,0,8,66.1,62,1.33,0
842,0.5,1,2,1,1,0,5,64.5,62,1.32,0
844,0.4,1,6,2,1,0,8,60.8,61,1.39,0
844,0.46,0,5,4,2,1,5,65.9,59,1.32,0
844,0.51,1,1,1,2,1,8,65,59,1.37,0
844,0.52,1,3,1,2,1,5,62,58,1.38,0
845,0.42,1,5,2,2,1,8,61.9,60,1.36,0
845,0.5,1,6,0,2,0,7,63.5,61,1.35,0
846,0.52,1,5,0,2,0,8,61.2,57,1.43,0
847,0.49,1,6,0,1,1,8,64.4,62,1.39,0
848,0.52,1,2,0,2,1,8,60.1,60,1.45,0
849,0.52,1,3,0,2,0,8,63.2,62,1.35,0
852,0.52,1,3,0,2,1,8,60.6,61,1.37,0
852,0.52,1,0,5,2,1,8,60.3,60,1.39,0
853,0.5,1,5,0,2,1,7,64.6,59,1.41,0
854,0.4,1,3,3,1,1,7,63.6,60,1.4,0
858,0.6,1,3,0,2,0,8,63.3,57,1.46,0
859,0.5,1,0,2,2,1,8,59.2,62,1.46,0
859,0.54,1,5,0,2,1,7,60,59,1.38,0
860,0.43,1,6,4,1,1,7,62.8,59,1.4,0
860,0.5,1,6,0,1,0,7,63.3,59,1.34,0
861,0.41,1,5,4,2,1,8,60.8,61,1.31,0
862,0.5,1,2,1,2,0,5,60.3,58,1.35,0
863,0.5,1,2,1,1,1,7,58.1,58,1.39,0
864,0.53,1,2,0,2,1,8,64.6,57,1.35,0
865,0.4,1,6,5,1,0,7,62.5,58,1.33,0
865,0.4,1,4,5,1,0,8,60.4,57,1.41,0
865,0.5,1,2,0,1,1,8,63.5,58,1.43,0
866,0.42,1,5,3,2,1,8,61.8,61,1.35,0
866,0.5,1,5,0,1,0,7,61.9,61,1.38,0
867,0.5,1,0,3,2,1,8,62.4,57,1.36,0
869,0.41,1,3,5,1,0,7,58.2,58,1.37,0
869,0.44,0,5,2,1,1,8,57.7,65,1.39,0
870,0.46,1,5,2,1,0,7,63.5,56,1.36,0
870,0.51,1,1,1,2,1,8,61.6,58,1.45,0
871,0.5,1,3,1,2,1,7,57.8,63,1.41,0
