price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
750,0.40,VeryGood,G,VS1,VeryGood,Good,None,61.2,58.0,1.36,None,Dec7
751,0.40,VeryGood,G,VS1,VeryGood,Good,Medium,61.5,60.0,1.39,None,Dec7
752,0.40,VeryGood,E,VS1,Good,Good,None,63.2,59.0,1.35,None,Dec7
752,0.43,VeryGood,D,SI2,VeryGood,VeryGood,None,61.6,57.0,1.37,None,Dec4
758,0.32,VeryGood,D,VVS1,Excellent,VeryGood,None,60.5,58.0,1.40,None,Dec7
759,0.38,VeryGood,E,VVS1,VeryGood,Good,Faint,61.4,62.0,1.38,None,Dec7
760,0.33,VeryGood,D,VVS1,Excellent,VeryGood,None,61.6,61.0,1.35,None,Dec7
761,0.40,VeryGood,D,VS1,Excellent,Good,Medium,61.1,60.0,1.38,None,Dec7
761,0.40,VeryGood,G,VS1,VeryGood,Good,None,60.5,58.0,1.38,None,Dec7
763,0.39,VeryGood,D,VVS2,Excellent,Good,Faint,59.5,58.0,1.43,None,Dec4
764,0.42,VeryGood,E,SI1,Excellent,VeryGood,None,62.6,60.0,1.35,None,Dec7
764,0.57,VeryGood,H,SI2,VeryGood,VeryGood,Medium,61.5,62.0,1.34,None,Dec7
765,0.45,VeryGood,D,SI2,Excellent,VeryGood,Faint,63.1,61.0,1.37,None,Dec7
765,0.50,VeryGood,I,VVS2,VeryGood,Good,Medium,60.9,60.0,1.28,None,Dec7
767,0.40,VeryGood,F,VS1,Excellent,VeryGood,None,60.3,60.0,1.40,VerySmall,Dec7
769,0.40,VeryGood,E,VS2,VeryGood,Good,None,61.2,61.0,1.37,None,Dec7
769,0.43,VeryGood,G,VVS2,VeryGood,Good,None,61.9,62.0,1.34,None,Dec7
770,0.42,VeryGood,E,VS1,Good,Good,Faint,62.3,60.0,1.38,None,Dec7
770,0.47,Good,G,VS2,Excellent,Good,None,68.2,60.0,1.40,None,Dec7
770,0.50,VeryGood,I,SI2,VeryGood,VeryGood,None,60.4,60.0,1.37,None,Dec7
771,0.41,VeryGood,E,VS2,VeryGood,Good,None,62.3,59.0,1.35,None,Dec7
772,0.40,VeryGood,D,VS1,VeryGood,Good,None,61.9,58.0,1.39,None,Dec7
772,0.41,VeryGood,G,VS1,VeryGood,Good,Faint,62.4,59.0,1.41,None,Dec7
774,0.40,VeryGood,F,VS2,VeryGood,Good,None,61.6,59.0,1.34,None,Dec7
774,0.41,VeryGood,F,VS2,Excellent,Good,None,63.0,61.0,1.37,None,Dec7
